,count,Completion Date
0,36,December 2017
1,35,December 2021
2,35,December 2022
3,28,"December 31, 2021"
4,23,"December 31, 2022"
5,23,December 2016
6,19,December 2014
7,18,December 2018
8,16,December 2019
9,14,December 2015
10,13,December 2025
11,13,"December 31, 2020"
12,13,"December 31, 2023"
13,13,December 2012
14,12,December 2013
15,12,December 2020
16,11,December 2011
17,11,March 2017
18,11,June 2022
19,11,January 2022
20,10,January 2016
21,10,September 2014
22,10,"June 30, 2022"
23,10,September 2022
24,9,January 2026
25,9,March 2015
26,9,December 2023
27,9,October 2022
28,8,"September 30, 2021"
29,8,July 2023
30,8,September 2013
31,8,"December 30, 2021"
32,8,October 2015
33,8,June 2014
34,8,October 2017
35,8,"December 30, 2022"
36,7,April 2017
37,7,April 2022
38,7,June 2015
39,7,November 2022
40,7,February 2022
41,7,June 2023
42,7,"September 30, 2022"
43,7,July 2013
44,6,"March 31, 2021"
45,6,November 2025
46,6,December 2024
47,6,March 2023
48,6,"December 31, 2019"
49,6,"March 31, 2022"
50,6,September 2021
51,6,"September 30, 2020"
52,6,"June 30, 2020"
53,6,"April 30, 2021"
54,6,"December 1, 2019"
55,6,"June 30, 2021"
56,6,March 2016
57,6,January 2021
58,6,November 2016
59,6,March 2018
60,6,July 2017
61,6,April 2016
62,6,December 2010
63,6,June 2017
64,6,November 2021
65,6,September 2023
66,6,"December 1, 2023"
67,6,"December 31, 2024"
68,6,August 2022
69,6,June 2018
70,6,July 2018
71,5,March 2014
72,5,July 2022
73,5,February 2016
74,5,June 2021
75,5,October 2016
76,5,August 2019
77,5,July 2016
78,5,September 2024
79,5,"June 1, 2021"
80,5,November 2018
81,5,November 2023
82,5,October 2021
83,5,"June 1, 2022"
84,5,June 2020
85,5,"December 30, 2020"
86,5,September 2025
87,5,July 2021
88,5,October 2025
89,5,May 2014
90,5,August 2015
91,5,May 2013
92,5,"December 1, 2022"
93,5,May 2017
94,5,"December 30, 2019"
95,4,April 2011
96,4,August 2012
97,4,January 2019
98,4,August 2013
99,4,September 2015
100,4,"December 1, 2021"
101,4,August 2017
102,4,January 2013
103,4,July 2015
104,4,February 2010
105,4,"June 30, 2023"
106,4,November 2024
107,4,January 2014
108,4,June 2012
109,4,"October 31, 2021"
110,4,September 2017
111,4,"December 1, 2025"
112,4,"July 31, 2022"
113,4,April 2018
114,4,"December 1, 2020"
115,4,July 2019
116,4,"November 30, 2022"
117,4,January 2024
118,4,"December 31, 2025"
119,4,January 2020
120,4,March 2019
121,4,March 2022
122,4,"May 31, 2022"
123,4,June 2019
124,3,March 2020
125,3,May 2018
126,3,January 2017
127,3,April 2014
128,3,March 2012
129,3,September 2016
130,3,July 2020
131,3,"October 31, 2020"
132,3,November 2017
133,3,October 2019
134,3,"August 23, 2019"
135,3,"February 1, 2022"
136,3,November 2015
137,3,"July 1, 2020"
138,3,August 2014
139,3,September 2020
140,3,October 2018
141,3,October 2013
142,3,May 2015
143,3,October 2014
144,3,August 2020
145,3,November 2014
146,3,May 2022
147,3,"May 31, 2021"
148,3,"July 31, 2020"
149,3,"September 1, 2020"
150,3,"May 1, 2021"
151,3,March 2021
152,3,February 2017
153,3,February 2015
154,3,April 2025
155,3,October 2020
156,3,July 2014
157,3,"July 1, 2022"
158,3,January 2025
159,3,"July 30, 2021"
160,3,"March 1, 2024"
161,3,January 2012
162,3,"June 30, 2024"
163,3,"January 1, 2023"
164,3,May 2010
165,3,August 2024
166,3,July 2012
167,3,August 2023
168,3,March 2024
169,3,"October 31, 2022"
170,3,"July 31, 2024"
171,3,"September 1, 2021"
172,3,January 2023
173,3,"March 1, 2022"
174,3,"January 31, 2022"
175,3,April 2023
176,3,"April 1, 2023"
177,3,December 2026
178,3,"April 1, 2020"
179,3,"October 1, 2023"
180,3,November 2010
181,3,June 2011
182,2,November 2011
183,2,February 2020
184,2,"December 31, 2018"
185,2,"July 30, 2022"
186,2,"October 1, 2024"
187,2,"October 25, 2018"
188,2,October 2010
189,2,"September 12, 2019"
190,2,May 2020
191,2,"September 20, 2020"
192,2,August 2018
193,2,"January 1, 2020"
194,2,"October 30, 2020"
195,2,February 2026
196,2,July 2010
197,2,February 2014
198,2,June 2016
199,2,June 2010
200,2,"December 20, 2018"
201,2,"January 31, 2020"
202,2,"March 1, 2020"
203,2,January 2018
204,2,"April 20, 2020"
205,2,"July 18, 2022"
206,2,"November 15, 2018"
207,2,December 2009
208,2,March 2010
209,2,"October 31, 2019"
210,2,"April 30, 2020"
211,2,"June 1, 2023"
212,2,"November 15, 2024"
213,2,"September 30, 2023"
214,2,"December 31, 2016"
215,2,June 2008
216,2,"June 30, 2019"
217,2,"July 1, 2023"
218,2,"February 28, 2022"
219,2,"March 1, 2025"
220,2,"July 31, 2023"
221,2,"October 1, 2022"
222,2,"January 31, 2019"
223,2,"April 9, 2018"
224,2,"August 31, 2018"
225,2,"November 1, 2020"
226,2,"September 1, 2025"
227,2,"July 1, 2024"
228,2,"September 15, 2014"
229,2,February 2018
230,2,"February 1, 2021"
231,2,"June 13, 2019"
232,2,"July 15, 2023"
233,2,February 2021
234,2,"May 1, 2023"
235,2,"August 31, 2024"
236,2,"July 15, 2020"
237,2,"June 30, 2025"
238,2,"December 15, 2020"
239,2,"May 30, 2023"
240,2,"June 1, 2024"
241,2,"October 20, 2020"
242,2,"September 15, 2022"
243,2,"March 31, 2025"
244,2,"September 1, 2023"
245,2,February 2023
246,2,April 2013
247,2,October 2011
248,2,September 2011
249,2,October 2012
250,2,September 2028
251,2,"December 30, 2023"
252,2,"September 1, 2022"
253,2,"March 30, 2021"
254,2,"January 27, 2021"
255,2,"May 30, 2021"
256,2,"August 31, 2019"
257,2,October 2023
258,2,"March 31, 2020"
259,2,May 2011
260,2,"December 31, 2013"
261,2,"December 1, 2018"
262,2,"April 1, 2022"
263,2,"November 1, 2018"
264,2,"December 31, 2017"
265,2,"April 30, 2024"
266,2,"December 10, 2019"
267,2,October 2024
268,2,"July 31, 2021"
269,2,"November 30, 2020"
270,2,November 2013
271,2,September 2019
272,2,"February 1, 2024"
273,1,February 2024
274,1,"April 28, 2011"
275,1,"October 28, 2019"
276,1,August 2011
277,1,"September 1, 2019"
278,1,"August 24, 2020"
279,1,"July 21, 2006"
280,1,"March 26, 2019"
281,1,June 2007
282,1,"December 28, 2018"
283,1,"February 8, 2007"
284,1,January 2008
285,1,"July 14, 2008"
286,1,"June 4, 2020"
287,1,June 2026
288,1,"August 4, 2017"
289,1,"June 10, 2019"
290,1,"May 15, 2019"
291,1,December 2008
292,1,April 2019
293,1,"July 30, 2023"
294,1,August 2016
295,1,"June 13, 2020"
296,1,"September 18, 2019"
297,1,"April 5, 2017"
298,1,"January 4, 2024"
299,1,"January 20, 2019"
300,1,"May 20, 2010"
301,1,"September 30, 2018"
302,1,August 2007
303,1,"October 20, 2019"
304,1,"June 15, 2022"
305,1,"May 28, 2009"
306,1,"November 7, 2017"
307,1,"February 11, 2020"
308,1,April 2008
309,1,"March 23, 2032"
310,1,"July 15, 2018"
311,1,"May 23, 2019"
312,1,"April 2, 2019"
313,1,December 2005
314,1,"April 26, 2023"
315,1,"January 20, 2018"
316,1,June 2009
317,1,"June 28, 2018"
318,1,August 2009
319,1,"December 29, 2021"
320,1,"June 2, 2022"
321,1,"March 31, 2016"
322,1,"November 20, 2019"
323,1,"January 15, 2019"
324,1,July 2008
325,1,"October 2, 2022"
326,1,"November 13, 2017"
327,1,"March 30, 2019"
328,1,"April 24, 2008"
329,1,September 2018
330,1,"April 4, 2018"
331,1,"May 22, 2020"
332,1,"January 1, 2026"
333,1,July 2009
334,1,"May 4, 2017"
335,1,"August 24, 2010"
336,1,"September 24, 2013"
337,1,"June 21, 2016"
338,1,"June 1, 2017"
339,1,"July 31, 2016"
340,1,"March 19, 2018"
341,1,"May 1, 2018"
342,1,"August 1, 2016"
343,1,"December 16, 2015"
344,1,"December 19, 2015"
345,1,"February 24, 2020"
346,1,"September 18, 2017"
347,1,November 2012
348,1,"November 24, 2016"
349,1,February 2009
350,1,"May 29, 2020"
351,1,"May 2, 2017"
352,1,"October 2, 2020"
353,1,"July 19, 2016"
354,1,"February 9, 2018"
355,1,"March 18, 2019"
356,1,"January 31, 2017"
357,1,"February 5, 2016"
358,1,"August 30, 2022"
359,1,August 2021
360,1,May 2012
361,1,March 2011
362,1,April 2015
363,1,"July 30, 2014"
364,1,"December 31, 2015"
365,1,September 2010
366,1,"October 21, 2019"
367,1,"February 26, 2015"
368,1,"June 27, 2019"
369,1,September 2026
370,1,"August 28, 2017"
371,1,"April 6, 2021"
372,1,"March 4, 2021"
373,1,"April 25, 2016"
374,1,January 2015
375,1,"January 10, 2014"
376,1,"August 29, 2017"
377,1,"April 1, 2017"
378,1,"June 18, 2019"
379,1,"October 16, 2022"
380,1,"July 17, 2032"
381,1,March 2013
382,1,January 2011
383,1,"December 4, 2017"
384,1,August 2025
385,1,July 2030
386,1,"January 11, 2021"
387,1,"March 28, 2024"
388,1,"April 13, 2017"
389,1,"December 13, 2017"
390,1,"June 30, 2017"
391,1,"March 14, 2016"
392,1,"December 8, 2021"
393,1,"June 15, 2021"
394,1,"October 20, 2017"
395,1,"May 18, 2018"
396,1,"October 30, 2018"
397,1,"March 2, 2018"
398,1,"May 11, 2017"
399,1,"November 7, 2016"
400,1,"July 22, 2020"
401,1,March 2032
402,1,"April 6, 2017"
403,1,October 2007
404,1,"December 19, 2011"
405,1,February 2011
406,1,"December 30, 2018"
407,1,"July 11, 2012"
408,1,"May 1, 2017"
409,1,"September 27, 2019"
410,1,"April 30, 2012"
411,1,May 2016
412,1,"December 24, 2018"
413,1,"February 7, 2020"
414,1,"August 12, 2021"
415,1,"August 20, 2019"
416,1,"January 27, 2022"
417,1,"March 7, 2017"
418,1,"December 20, 2019"
419,1,"August 1, 2050"
420,1,"September 30, 2017"
421,1,"July 5, 2018"
422,1,"December 31, 2014"
423,1,"September 25, 2020"
424,1,August 2010
425,1,"May 3, 2018"
426,1,"July 30, 2019"
427,1,"April 10, 2018"
428,1,"August 31, 2017"
429,1,"December 1, 2016"
430,1,"July 1, 2028"
431,1,"March 27, 2019"
432,1,"February 2, 2021"
433,1,"December 30, 2027"
434,1,November 2020
435,1,"December 25, 2021"
436,1,"August 15, 2024"
437,1,"December 20, 2023"
438,1,May 2024
439,1,"July 20, 2020"
440,1,"May 22, 2021"
441,1,"March 23, 2023"
442,1,"January 10, 2020"
443,1,June 2024
444,1,"January 24, 2024"
445,1,"October 25, 2021"
446,1,"September 25, 2022"
447,1,"April 22, 2021"
448,1,"December 29, 2023"
449,1,"June 1, 2025"
450,1,"January 14, 2021"
451,1,"January 27, 2020"
452,1,"July 1, 2026"
453,1,"April 30, 2023"
454,1,"September 23, 2020"
455,1,"August 1, 2023"
456,1,"September 17, 2022"
457,1,"October 31, 2023"
458,1,"October 23, 2024"
459,1,July 2025
460,1,January 2027
461,1,"July 15, 2011"
462,1,"January 6, 2023"
463,1,"December 26, 2018"
464,1,"September 20, 2019"
465,1,"July 16, 2020"
466,1,"March 1, 2012"
467,1,"December 22, 2019"
468,1,December 2035
469,1,"February 15, 2022"
470,1,"December 24, 2021"
471,1,"October 14, 2020"
472,1,"July 9, 2020"
473,1,"April 16, 2022"
474,1,"February 25, 2020"
475,1,"September 30, 2024"
476,1,"December 8, 2020"
477,1,"December 25, 2020"
478,1,"January 1, 2019"
479,1,"June 1, 2026"
480,1,"February 28, 2019"
481,1,"November 1, 2021"
482,1,"May 31, 2029"
483,1,"February 14, 2020"
484,1,"March 11, 2021"
485,1,"March 31, 2023"
486,1,July 2028
487,1,"September 7, 2021"
488,1,April 2026
489,1,"September 1, 2030"
490,1,"December 20, 2020"
491,1,"December 10, 2020"
492,1,"October 31, 2024"
493,1,"November 1, 2022"
494,1,"December 1, 2024"
495,1,"October 10, 2030"
496,1,"November 22, 2023"
497,1,"July 20, 2023"
498,1,"June 9, 2021"
499,1,"September 10, 2024"
500,1,"November 1, 2025"
501,1,"December 16, 2024"
502,1,"October 5, 2023"
503,1,December 2028
504,1,"July 6, 2024"
505,1,"June 9, 2023"
506,1,July 2024
507,1,"February 2, 2022"
508,1,"April 30, 2026"
509,1,"June 30, 2026"
510,1,May 2025
511,1,"December 9, 2030"
512,1,"August 1, 2022"
513,1,"November 14, 2021"
514,1,"December 7, 2022"
515,1,"December 20, 2025"
516,1,"December 15, 2024"
517,1,"December 25, 2024"
518,1,"February 29, 2024"
519,1,"January 20, 2024"
520,1,July 2033
521,1,March 2025
522,1,"December 30, 2025"
523,1,"August 30, 2023"
524,1,"October 25, 2024"
525,1,"September 30, 2026"
526,1,"July 11, 2022"
527,1,"January 31, 2026"
528,1,December 2027
529,1,"March 2, 2026"
530,1,April 2024
531,1,"February 1, 2017"
532,1,"November 30, 2024"
533,1,"April 20, 2022"
534,1,"March 1, 2023"
535,1,"November 30, 2027"
536,1,"May 3, 2026"
537,1,February 2025
538,1,"March 25, 2021"
539,1,"January 4, 2025"
540,1,"July 16, 2024"
541,1,"July 21, 2024"
542,1,"December 31, 2028"
543,1,"January 20, 2026"
544,1,"March 15, 2022"
545,1,May 2027
546,1,"October 5, 2021"
547,1,"January 30, 2022"
548,1,"March 15, 2025"
549,1,"August 31, 2021"
550,1,"July 3, 2040"
551,1,"August 7, 2020"
552,1,"May 28, 2023"
553,1,"August 21, 2023"
554,1,"March 31, 2024"
555,1,"October 31, 2026"
556,1,"June 9, 2027"
557,1,"April 14, 2022"
558,1,"November 15, 2022"
559,1,"March 17, 2022"
560,1,"May 15, 2020"
561,1,"August 1, 2019"
562,1,"March 30, 2020"
563,1,"July 27, 2021"
564,1,"October 9, 2020"
565,1,"December 17, 2021"
566,1,"September 21, 2021"
567,1,"July 24, 2018"
568,1,"September 4, 2020"
569,1,"March 10, 2020"
570,1,"September 30, 2019"
571,1,"May 17, 2019"
572,1,"March 23, 2028"
573,1,"August 17, 2018"
574,1,"May 31, 2027"
575,1,"December 14, 2020"
576,1,"May 22, 2019"
577,1,"March 15, 2019"
578,1,"January 21, 2022"
579,1,April 2027
580,1,May 2023
581,1,"June 25, 2019"
582,1,"December 9, 2020"
583,1,"June 28, 2017"
584,1,"December 25, 2017"
585,1,"May 25, 2019"
586,1,"July 23, 2019"
587,1,April 2020
588,1,"April 26, 2019"
589,1,"September 15, 2018"
590,1,"February 20, 2020"
591,1,"January 4, 2022"
592,1,"February 13, 2019"
593,1,"May 20, 2019"
594,1,September 2035
595,1,"April 29, 2020"
596,1,"May 25, 2020"
597,1,"March 31, 2035"
598,1,"December 5, 2020"
599,1,"December 28, 2019"
600,1,"October 1, 2020"
601,1,"February 21, 2020"
602,1,"November 5, 2020"
603,1,"August 19, 2019"
604,1,"August 7, 2023"
605,1,"July 31, 2017"
606,1,"August 1, 2020"
607,1,"January 1, 2030"
608,1,"October 1, 2015"
609,1,"July 31, 2019"
610,1,"August 16, 2022"
611,1,"October 27, 2019"
612,1,"August 1, 2027"
613,1,"June 25, 2020"
614,1,"March 24, 2018"
615,1,"December 5, 2019"
616,1,"December 28, 2021"
617,1,"January 30, 2020"
618,1,"June 29, 2020"
619,1,"December 15, 2022"
620,1,April 2021
621,1,"October 22, 2021"
622,1,"March 10, 2021"
623,1,"September 9, 2017"
624,1,"February 28, 2020"
625,1,"August 30, 2020"
626,1,"May 20, 2024"
627,1,"July 31, 2026"
628,1,September 2032
629,1,"September 29, 2021"
630,1,"December 6, 2020"
631,1,"October 30, 2024"
632,1,"May 13, 2019"
633,1,"May 14, 2021"
634,1,"July 2, 2025"
635,1,"June 30, 2027"
636,1,"February 28, 2021"
637,1,"July 31, 2025"
638,1,"August 31, 2022"
639,1,"November 12, 2020"
640,1,"August 31, 2023"
641,1,"August 29, 2024"
642,1,"August 16, 2023"
643,1,"April 15, 2023"
644,1,"October 20, 2024"
645,1,July 2036
646,1,"August 1, 2024"
647,1,December 2037
648,1,"September 1, 2024"
649,1,"November 30, 2021"
650,1,"April 30, 2022"
651,1,"March 20, 2022"
652,1,"March 26, 2021"
653,1,"May 20, 2021"
654,1,"November 27, 2020"
655,1,"December 28, 2020"
656,1,"February 22, 2018"
657,1,"January 22, 2020"
658,1,"September 13, 2022"
659,1,January 2032
660,1,"July 24, 2019"
661,1,"September 20, 2021"
662,1,"June 24, 2022"
663,1,"September 28, 2020"
664,1,"October 15, 2020"
665,1,"August 12, 2033"
666,1,"July 26, 2018"
667,1,"March 20, 2018"
668,1,"November 23, 2019"
669,1,November 2028
670,1,"February 26, 2019"
671,1,"April 25, 2019"
672,1,November 2019
673,1,"December 15, 2019"
674,1,"December 18, 2019"
675,1,"March 14, 2023"
676,1,"November 19, 2023"
677,1,May 2019
678,1,"December 14, 2016"
679,1,"August 18, 2017"
680,1,"November 18, 2015"
681,1,"July 1, 2025"
682,1,October 2003
683,0,
